Producto Base ID,Recomendado ID,Recomendado Producto,Categoría,Sentimiento promedio
6,22,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",laptops,0.2152210540781969
6,9,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",laptops,0.3669544299201162
6,1,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",laptops,0.0870509607351712
6,47,"HP 14 HD Laptop Computer Students Business, Quad-Core Intel Celeron Processor, 16GB RAM, 256GB Storage(128GB eMMC+128GB SD Card), 1 Year Office 365, HDMI, Win 12 w/TP Accessories",laptops,0.7500000000000001
6,27,"HP Featherlight Laptop with Wireless Earbuds, 16GB RAM, 64GB Storage and 500GB External Drive, 14'' HD Display, Thin & Portable, Webcam, HDMI, WiFi, USB, Snowflake, Windows 11, 1-Year Microsoft 365",laptops,0.3083333333333333
7,43,"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, Touch ID; Starlight",laptops,0.2575794267460934
7,31,"Apple 2022 MacBook Air Laptop with M2 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera; Midnight",laptops,0.3705686008716312
7,33,"Apple 2024 MacBook Pro Laptop with M4 Pro, 14‑core CPU, 20‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Space Black",laptops,0.0614121989121989
7,276,"Apple 2023 Mac Mini Desktop Computer with Apple M2 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",pc_peripherals,0.1824812020068937
7,327,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",electronics,0.3976234567901234
8,14,"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",laptops,0.070780286030439
8,12,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",laptops,0.3358669108669108
8,45,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909
8,65,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909
8,30,"Lenovo Essential Touchscreen Laptop | Ideapad 3i | 40GB RAM | 15.6"" FHD Touch Screen Display | 1TB SSD Storage | Intel Core i3 Processor | Windows 11 Pro | Business and Home Lover Laptop",laptops,0.5333333333333333
9,22,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",laptops,0.2152210540781969
9,26,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",laptops,0.218572290363957
9,14,"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",laptops,0.070780286030439
9,12,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",laptops,0.3358669108669108
9,27,"HP Featherlight Laptop with Wireless Earbuds, 16GB RAM, 64GB Storage and 500GB External Drive, 14'' HD Display, Thin & Portable, Webcam, HDMI, WiFi, USB, Snowflake, Windows 11, 1-Year Microsoft 365",laptops,0.3083333333333333
10,21,"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947",laptops,0.3068210043806169
10,23,"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33",laptops,0.2561843711843712
10,39,"ASUS TUF Gaming A15 (2024) Gaming Laptop, 15.6” FHD 144Hz Display, NVIDIA® GeForce RTX™ 2050, AMD Ryzen™ 5 7535HS, 8GB DDR5, 512GB PCIe® Gen4 NVMe™ SSD, Wi-Fi 6, Windows 11, FA506NF-ES51",laptops,0.2994406766073432
