Producto Base ID,Recomendado ID,Recomendado Producto,Categoría,Sentimiento promedio
10,63,"ASUS TUF Gaming A15 (2024) Gaming Laptop, 15.6” FHD 144Hz Display, NVIDIA® GeForce RTX™ 3050, AMD Ryzen™ 5 7535HS, 8GB DDR5, 512GB PCIe® Gen4 NVMe™ SSD, Wi-Fi 6, Windows 11, FA506NC-ES51",laptops,0.2994406766073432
10,54,"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat i7-1065G7), 40GB RAM, 1TB SSD, RJ-45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black, Additional 1 Yr ADP",laptops,0.3210344632920391
11,59,"HP 17.3"" FHD Business Laptop 2024, 32GB RAM, 1TB SSD, 12th Gen Intel Core i3-1215U (6-Core, Beat i5-1135G7), Wi-Fi, Long Battery Life, Webcam, Numpad, Windows 11 Pro, KyyWee Accessories",laptops,0.3048794207741576
11,29,"NIMO 15.6 FHD Laptop, Intel 6-Cores i3-1215U, 32GB RAM, 1TB SSD, (Beat i5-1135G7, Up to 4.4GHz), 65W Type-C, Fingerprint, Backlit Keyboard, IPS Business Laptop, Wi-Fi 6, Numpad, Win 11",laptops,0.2141470205395644
11,53,"HP 17.3"" FHD Business Laptop Computer, 32GB RAM, 1TB PCIe SSD, 12th Intel 6-Core i3-1215U(Up to 4.4GHz, Beat i5-1125G4), Type-C, HDMI, Win 11 Home, WiFi, Webcam, Numpad, W/GM Accessories",laptops,0.3268709866522366
11,69,"HP 17.3"" FHD Business Laptop Computer, 32GB RAM, 1TB PCIe SSD, 12th Intel 6-Core i3-1215U(Up to 4.4GHz, Beat i5-1125G4), Type-C, HDMI, Win 11 Home, WiFi, Webcam, Numpad, W/GM Accessories",laptops,0.3268709866522366
11,48,"Dell Inspiron 15 3520 15.6"" FHD Laptop, 32GB RAM,1TB SSD, Intel Core i3-1215U Processor(Beat i5-1135G7), SD Card Reader, WiFi, Bluetooth, Webcam, Win 11 Home, Alpacatec Accessories, Carbon Black",laptops,0.3993333333333334
12,14,"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",laptops,0.070780286030439
12,45,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909
12,65,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909
12,8,"Lenovo V15 G2 Laptop, 15.6"" FHD Screen, Intel Dual-core Processor, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",laptops,0.3033333333333333
12,9,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",laptops,0.3669544299201162
13,28,"DELL Inspiron 15 Touchscreen Laptop Computer for Business, 15.6"" FHD Anti-Glare Laptop, 13th Gen Intel Core i7-1355U(Up to 5GHz, 10 Cores), 32GB RAM, 1TB SSD, Wi-Fi 6, Win 11 Pro, with Wired Mouse",laptops,0.4456349206349206
13,37,"Dell XPS 13 9340 Business Laptop - 13.4"" OLED, Intel 16 Core Ultra 7 155H, 32GB DDR5, 512GB SSD, Windows 11 Pro, Microsoft Office Lifetime License, Backlit Keyboard, Wi-Fi 7",laptops,0.0
13,19,"HP Newest Flagship 14"" Laptop with Free AI-Powered Microsoft 365 | Bluetooth Earphones | 16GB RAM | 512GB External Drive & 128GB onboard Storage | Intel 4-Core Processor | 14"" HD Display | Windows 11",laptops,0.4621527777777778
13,5,"HP 17 Laptop, 17.3"" HD+ Touchscreen Display, 12th Gen Intel Core i7-1255U, 64GB RAM, 2TB SSD, Webcam, HDMI, SuperSpeed USB Ports, Wi-Fi 6, Windows 11 Home, Silver",laptops,0.4140277777777778
13,1,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",laptops,0.0870509607351712
