Producto,Categoría,Sentimiento promedio,Sentimientos individuales
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",laptops,-0.065625,"[-0.19687500000000002, 0.0, 0.0]"
"15.6 Inch Laptop with Office 365, 12GB RAM, 640GB Storage, 5305U Processor, HD Display, Newest Windows 11 Laptops Computer, Wi-Fi 5, Numpad, USB3.0, Type-C, Long Battery Life.",laptops,-0.05555555555555555,"[-0.16666666666666666, 0.0, 0.0]"
"LISEN Cell Phone Stand Adjustable Phone Holer for Desk, Computer Office Desk Accessories for iPhone 16 Holder Women Kitchen Essentials Fits All Mobile Phones Switch Kindle iPads Tablet 4-10in",gaming_accessories,-0.0053527269493656065,"[-0.3666666666666667, 0.1366780045351474, 0.21393048128342249]"
